Name,Sector,Industry
3D Systems Corporation,Technology,Computer Software: Prepackaged Software
3M Company,Health Care,Medical/Dental Instruments
500.com Limited,Consumer Services,Services-Misc. Amusement & Recreation
58.com Inc.,Technology,"Computer Software: Programming, Data Processing"
A.H. Belo Corporation,Consumer Services,Newspapers/Magazines
"A10 Networks, Inc.",Technology,Computer Communications Equipment
"AAC Holdings, Inc.",Health Care,Medical Specialities
AAR Corp.,Capital Goods,Aerospace
"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services
ABB Ltd,Consumer Durables,Electrical Products
Abbott Laboratories,Health Care,Major Pharmaceuticals
AbbVie Inc.,Health Care,Major Pharmaceuticals
Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores
"Aberdeen Greater China Fund, Inc.",n/a,n/a
"Aberdeen Japan Equity Fund, Inc. ",n/a,n/a
"Aberdeen Singapore Fund, Inc.",n/a,n/a
ABM Industries Incorporated,Finance,Diversified Commercial Services
Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts
Accenture plc.,Miscellaneous,Business Services
Acco Brands Corporation,Consumer Durables,Publishing
Accuride Corporation New,Capital Goods,Auto Parts:O.E.M.
Ace Limited,Finance,Property-Casualty Insurers
"Acorn International, Inc.",Consumer Services,Other Specialty Stores
Actuant Corporation,Technology,Industrial Machinery/Components
Acuity Brands Inc,Consumer Durables,Building Products
"Adams Diversified Equity Fund, Inc.",n/a,n/a
"Adams Natural Resources Fund, Inc.",n/a,n/a
Adecoagro S.A.,Consumer Non-Durables,Farming/Seeds/Milling
Adeptus Health Inc.,Health Care,Hospital/Nursing Management
ADT Corporation,Consumer Services,Diversified Commercial Services
Advance Auto Parts Inc,Consumer Services,Other Specialty Stores
"Advanced Drainage Systems, Inc.",Capital Goods,Containers/Packaging
"Advanced Semiconductor Engineering, Inc.",Technology,Semiconductors
Advantage Oil & Gas Ltd,Energy,Oil & Gas Production
Advantest Corporation (Kabushiki Kaisha Advantest) ADS,Technology,Semiconductors
Advent Claymore Convertible Securities and Income Fund,n/a,n/a
Advent Claymore Convertible Securities and Income Fund II,n/a,n/a
Advent/Claymore Enhanced Growth & Income Fund,n/a,n/a
AECOM,Consumer Services,Military/Government/Technical
Aegean Marine Petroleum Network Inc.,Energy,Oil Refining/Marketing
Aegon NV,Finance,Life Insurance
Aegon NV,Finance,Life Insurance
Aegon NV,Finance,Life Insurance
Aegon NV,Finance,Life Insurance
Aegon NV,Finance,Life Insurance
Aercap Holdings N.V.,Technology,Diversified Commercial Services
"Aerohive Networks, Inc.",Technology,EDP Services
"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,Military/Government/Technical
Aeropostale Inc,Consumer Services,Clothing/Shoe/Accessory Stores
Aetna Inc.,Health Care,Medical Specialities
"Affiliated Managers Group, Inc.",Finance,Investment Managers
"Affiliated Managers Group, Inc.",Finance,Investment Managers
Aflac Incorporated,Finance,Accident &Health Insurance
Aflac Incorporated,Finance,Accident &Health Insurance
"AG Mortgage Investment Trust, Inc.",n/a,n/a
"AG Mortgage Investment Trust, Inc.",n/a,n/a
"AG Mortgage Investment Trust, Inc.",n/a,n/a
AGCO Corporation,Capital Goods,Industrial Machinery/Components
"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
"AGL Resources, Inc.",Public Utilities,Oil/Gas Transmission
Agnico Eagle Mines Limited,Basic Industries,Precious Metals
Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts
Agria Corporation,Consumer Non-Durables,Farming/Seeds/Milling
Agrium Inc.,Basic Industries,Agricultural Chemicals
Air Lease Corporation,Technology,Diversified Commercial Services
"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals
Aircastle Limited,Technology,Diversified Commercial Services
"Airgas, Inc.",Capital Goods,Industrial Machinery/Components
AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore
Alabama Power Company,Public Utilities,Electric Utilities: Central
"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components
Alamos Gold Inc.,Basic Industries,Precious Metals
"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services
Albany International Corporation,Basic Industries,Textiles
Albemarle Corporation,Basic Industries,Major Chemicals
Alcatel Lucent,Public Utilities,Telecommunications Equipment
Alcoa Inc.,Capital Goods,Metal Fabrications
Alcoa Inc.,n/a,n/a
Alere Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
Alere Inc.,n/a,n/a
"Alexander & Baldwin Holdings, Inc.",Finance,Real Estate
"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts
"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts
"Alexandria Real Estate Equities, Inc.",n/a,n/a
"Alexandria Real Estate Equities, Inc.",n/a,n/a
Alibaba Group Holding Limited,Miscellaneous,Business Services
Alleghany Corporation,Finance,Property-Casualty Insurers
Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore
Allegion plc,Consumer Services,Diversified Commercial Services
Allergan plc.,Health Care,Major Pharmaceuticals
Allergan plc.,n/a,n/a
"Allete, Inc.",Public Utilities,Power Generation
Alliance California Municipal Income Fund Inc,n/a,n/a
Alliance Data Systems Corporation,Miscellaneous,Business Services
Alliance National Municipal Income Fund Inc,n/a,n/a
"Alliance One International, Inc.",Consumer Services,Farming/Seeds/Milling
Alliance World Dollar Government Fund II,n/a,n/a
AllianceBernstein Holding L.P.,Finance,Investment Managers
ALLIANCEBERNSTEIN INCOME FUND INC,n/a,n/a
Alliant Energy Corporation,Public Utilities,Power Generation
AllianzGI Convertible & Income Fund,n/a,n/a
AllianzGI Convertible & Income Fund II,n/a,n/a
AllianzGI Diversified Income & Convertible Fund,n/a,n/a
AllianzGI Equity & Convertible Income Fund,n/a,n/a
"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",Finance,Finance: Consumer Services
"Allied World Assurance Company Holdings, AG",Finance,Property-Casualty Insurers
"Allison Transmission Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.
Allstate Corporation (The),Finance,Property-Casualty Insurers
Allstate Corporation (The),n/a,n/a
Allstate Corporation (The),n/a,n/a
Allstate Corporation (The),n/a,n/a
Allstate Corporation (The),n/a,n/a
Allstate Corporation (The),n/a,n/a
Allstate Corporation (The),n/a,n/a
Ally Financial Inc.,Finance,Finance: Consumer Services
Ally Financial Inc.,n/a,n/a
Ally Financial Inc.,n/a,n/a
Alon Blue Square Israel Ltd.,Consumer Services,Department/Specialty Retail Stores
"Alon USA Energy, Inc.",Energy,Integrated oil Companies
"Alon USA Partners, LP",Energy,Integrated oil Companies
Alpine Global Dynamic Dividend Fund,n/a,n/a
Alpine Global Premier Properties Fund,n/a,n/a
Alpine Total Dynamic Dividend Fund,n/a,n/a
Altisource Residential Corporation,Finance,Real Estate
Altria Group,Consumer Non-Durables,Farming/Seeds/Milling
Aluminum Corporation of China Limited,Basic Industries,Aluminum
"Amber Road, Inc.",Technology,Computer Software: Prepackaged Software
Ambev S.A.,Consumer Non-Durables,Beverages (Production/Distribution)
